等级,升本级所需经验,累计经验,攻击力,怪物血量,击杀耗时(秒),金币掉落,装备强化费用,强化费用/掉落比,攻击边际收益(%)
1,100,100,50,40,0.8,10,25,2.5,-
2,255,355,54,92,1.7,21,68,3.2,8.0
3,441,796,58,149,2.6,33,123,3.7,8.0
4,650,1446,63,211,3.4,46,187,4.1,8.0
5,878,2324,68,276,4.1,59,258,4.4,8.0
6,1123,3447,74,343,4.7,72,336,4.7,8.0
7,1383,4830,79,413,5.2,85,420,4.9,8.0
8,1656,6486,86,485,5.7,98,510,5.2,8.0
9,1942,8428,93,559,6.0,112,605,5.4,8.0
10,2238,10666,100,634,6.3,126,705,5.6,8.0
11,2546,13212,108,711,6.6,140,809,5.8,8.0
12,2863,16075,117,789,6.8,154,918,6.0,8.0
13,3190,19265,126,869,6.9,168,1031,6.1,8.0
14,3526,22791,136,949,7.0,182,1148,6.3,8.0
15,3870,26661,147,1031,7.0,197,1268,6.4,8.0
18,4951,40416,185,1283,6.9,240,1652,6.9,8.0
20,5700,51441,216,1456,6.7,270,1928,7.1,8.0
25,7713,85931,317,1903,6.0,345,2660,7.7,8.0
30,9860,130893,466,2369,5.1,422,3466,8.2,8.0
